ID#,Country,SERIES          SH,SHOT,YEAR,MON,DAY,SITE,LAT,LONG,HOB,YD-MN,YIELD,DATE,MON_NUM,HOB_ft
147,USA,Hardtack I,Poplar,1958,JUL,12,BK,11.6881,165.2644,3,9300,9300,7/12/1958,7,0.914634146
142,USA,Hardtack I,Oak,1958,JUN,28,EN,11.6078,162.1078,1.8,8900,8900,6/28/1958,6,0.548780488
293,USA,Dominic I,Housatonic,1962,OCT,30,JO,13.5,-172,3700,8300,8300,10/30/1962,10,1128.04878
191,USSR,1962,,1962,OCT,22,NZ-MB?,73.4,54.9,3230,8200,8200,10/22/1962,10,984.7560976
260,USA,Dominic I,Bighorn,1962,JUN,27,LI-CH,1.3,-157.3,3600,7650,7650,6/27/1962,6,1097.560976
49,USA,Castle,Union,1954,APR,25,BK,11.6664,165.3872,4,6900,6900,4/25/1954,4,1.219512195
86,USA,Redwing,Tewa,1956,JUL,20,BK,11.6739,165.3394,4.5,5000,5000,7/20/1956,7,1.37195122
136,USSR,1961,,1961,OCT,31,NZ-MB,73.6,56.2,2200,5000,5000,10/31/1961,10,670.7317073
85,USA,Redwing,Navajo,1956,JUL,10,BK,11.6633,165.3872,6,4500,4500,7/10/1956,7,1.829268293
165,USSR,1962,,1962,AUG,27,NZ-MB?,74.7,50.3,3000,4200,4200,8/27/1962,8,914.6341463
441,USSR,1973,,1973,OCT,27,NZ-SS,70.78,54.035,-1900,1500,4000,10/27/1973,10,-579.2682927
21,CHINA,,,1976,NOV,17,LN-D,40.696,89.627,0,4000,4000,11/17/1976,11,0
119,USSR,1961,,1961,OCT,6,NZ-MB,74.3,51.6,2700,4000,4000,10/6/1961,10,823.1707317
269,USA,Dominic I,Pamlico,1962,JUL,11,LI-CH,1.4,-157.3,4370,3880,3880,7/11/1962,7,1332.317073
431,USSR,1973,,1973,SEP,12,NZ-NS,73.314,55.056,-1500,1500,3800,9/12/1973,9,-457.3170732
72,USA,Redwing,Cherokee,1956,MAY,20,BK,11.6683,165.3942,1320,3800,3800,5/20/1956,5,402.4390244
73,USA,Redwing,Zuni,1956,MAY,27,BK,11.4967,165.3692,3,3500,3500,5/27/1956,5,0.914634146
11,CHINA,,,1970,OCT,14,LN-D,40.52,89.779,0,3000,3400,10/14/1970,10,0
6,CHINA,,,1967,JUN,17,LN-D,40.744,89.775,2960,3000,3300,6/17/1967,6,902.4390244
172,USSR,1962,,1962,SEP,16,NZ-MB?,74.2,51.6,0,3250,3250,9/16/1962,9,0
171,USSR,1962,,1962,SEP,15,NZ-MB?,74.4,51.5,0,3100,3100,9/15/1962,9,0
227,USSR,1962,,1962,DEC,25,NZ-MB?,73.4,56.5,2250,3100,3100,12/25/1962,12,685.9756098
8,CHINA,,,1968,DEC,27,LN,41.5,88.5,0,3000,3000,12/27/1968,12,0
10,CHINA,,,1969,SEP,29,LN-D,40.722,89.515,0,3000,3000,9/29/1969,9,0
15,CHINA,,,1973,JUN,27,LN-D,40.7985,89.8091,0,2000,3000,6/27/1973,6,0
118,USSR,1961,,1961,OCT,4,NZ-MB,73.7,53.8,2100,1500,3000,10/4/1961,10,640.2439024
17,UK,Grapple Y,Grapple Y,1958,APR,28,LI-CH,1.67,-157.25,2350,3000,3000,4/28/1958,4,716.4634146
