ID#,Country,SERIES          SH,SHOT,YEAR,MON,DAY,SITE,LAT,LONG,HOB,YD-MN,YIELD,DATE,MON_NUM,HOB_ft
243,USSR,1965,Butan-2,1965,MAR,30,null,52.9,56.5,-1375,2.3,2.3,3/30/1965,3,-419.2073171
245,USSR,1965,Butan,1965,JUN,10,null,52.9,56.5,-1350,7.6,7.6,6/10/1965,6,-411.5853659
242,USSR,1965,Butan-1,1965,MAR,30,null,52.9,56.5,-1340,2.3,2.3,3/30/1965,3,-408.5365854
388,USA,Whetstone,Salmon,1964,OCT,22,null,31.1421,-89.5699,-830,5.3,5.3,10/22/1964,10,-253.0487805
13,FRANCE,,Saphir (Monique),1965,FEB,27,AL-IE,24.0587,5.0311,-785,80,127,2/27/1965,2,-239.3292683
407,USA,Whetstone,Wagtail,1965,MAR,3,NTS-YF,37.0645,-116.03719,-749.59,20,51,3/3/1965,3,-228.5335366
337,USA,Niblick,Bilby,1963,SEP,13,NTS-YF,37.06042,-116.02167,-714.3,249,249,9/13/1963,9,-217.7743902
433,USA,Flintlock,Long Shot,1965,OCT,29,AK,51.4381,179.1826,-700,80,80,10/29/1965,10,-213.4146341
436,USA,Flintlock,Corduroy,1965,DEC,3,NTS-YF,37.16475,-116.05233,-681.53,20,120,12/3/1965,12,-207.7835366
65,USA,Wigwam,Wigwam,1955,MAY,14,null,28.7333,-126.2667,-610,30,30,5/14/1955,5,-185.9756098
342,USA,Niblick,Clearwater,1963,OCT,16,NTS-RM,37.19817,-116.2295,-548.03,20,60,10/16/1963,10,-167.0823171
409,USA,Whetstone,Cup,1965,MAR,26,NTS-YF,37.14761,-116.04289,-536.75,20,38,3/26/1965,3,-163.6432927
426,USA,Flintlock,Bronze,1965,JUL,23,NTS-YF,37.09786,-116.033,-530.96,20,67,7/23/1965,7,-161.8780488
365,USA,Niblick,Turf,1964,APR,24,NTS-YF,37.14958,-116.05539,-506.88,20,38,4/24/1964,4,-154.5365854
438,USA,Flintlock,Buff,1965,DEC,16,NTS-YF,37.0726,-116.0291,-500.41,20,51,12/16/1965,12,-152.5640244
282,USA,Storax,Mississippi,1962,OCT,5,NTS-YF,37.13942,-116.05033,-493.78,115,115,10/5/1962,10,-150.5426829
359,USA,Niblick,Klickitat,1964,FEB,20,NTS-YF,37.15089,-116.04011,-492.56,70,29,2/20/1964,2,-150.1707317
352,USA,Niblick,Fore,1964,JAN,16,NTS-YF,37.14228,-116.04911,-490.42,20,38,1/16/1964,1,-149.5182927
26,UK,Flintlock,Charcoal,1965,SEP,10,NTS-YF,37.07797,-116.01672,-455.44,20,29,9/10/1965,9,-138.8536585
384,USA,Whetstone,Auk,1964,OCT,2,NTS-YF,37.07792,-116.0085,-452.38,0,12,10/2/1964,10,-137.9207317
379,USA,Whetstone,Canvasback,1964,AUG,22,NTS-YF,37.06533,-116.01544,-447.66,0,18,8/22/1964,8,-136.4817073
